Tweet of the development set,True class,Predicted class with word-based,Predicted class BPE
Ara na-agba ha.... Ha che na obu soso ha Nwere asusu marakwa k'esi ede ya... 😂 😂 😂 [URL],negative,negative,negative
@user @user @user @user @user @user @user @user @user Isi adiro gi ma 🙄🙄🙄,negative,negative,negative
@user @user Ndi ajo mmadu...,negative,negative,negative
@user Stan buo gi der. Miss Stanley onye zuzu.,negative,negative,negative
@user Ndi ara ogboete,negative,negative,negative
@user @user @user Ina achom okwu o 😭😭😂😂,negative,negative,negative
@user @user kowaaaa gi onu there!!,negative,negative,negative
#UrbanBreakfast ☀️ w. @user x @user 🎶 Obodo Bu Igwe || @user #TerrificTuesday 📻[NUM].[NUM] [URL],negative,positive,positive
For ndi chọrọ ije Ụtaba n'agba ara o [URL],negative,negative,negative
@user @user @user Amadioha Ole mgbe oh 😭,negative,negative,negative
Mba biko. We need to intensify our prayers. Nwoke ka anyi cho! Oburo anonymous gift! Nekwa mmadu nsogbu! [URL],negative,negative,negative
@user @user @user @user @user @user @user @user @user @user @user @user 😂😂😂 Ọnye mmụọ kà ịbụ,negative,negative,negative
@user Umu azi +[NUM] jii amu eme ogo,negative,negative,positive
@user Ike gwuru nwanne m o🤥🙄,negative,negative,negative
@user @user @user @user Mechipu ọnụ ochiee😝😝😝,negative,negative,negative
@user Well spoken maka ndi efulefu na acho ikikere ochichi.,negative,negative,negative
Nna ogini bu nke aha?😀😀😀😀😀😍 [URL],negative,negative,negative
Nsogbu di n’obodo,negative,positive,negative
@user @user @user Jeff onye nzuzu 🤣😂,negative,negative,negative
@user @user Ndi shepeteri Twitter na nzuzu 🤝,negative,negative,negative
"@user Nwanne, odi egwu",negative,negative,negative
Egwu di oku [URL] [URL],negative,negative,negative
@user @user @user @user @user @user @user @user Igwe ndi Ncha.. Ichekwalu nno eche before igwaba ora mmadu udika ncha iji ezute Genevieve na White House gii 🙄🙄🙄,negative,negative,negative
@user 😂 😂 😂 😂 Umu chukwu indeed,negative,negative,negative
@user @user @user @user @user @user @user Ndi anwuruma association,negative,negative,negative
Chukwu nna bi n'eligwe. Mgbe olee 😭😭😭😭😭😭 [URL],negative,positive,negative
Aga m aku gi ihe next time [URL],negative,negative,negative
Nna mehnnnnn Ike gwuru nwa mmadu.,negative,negative,negative
Iberibe na enye mmadu morale😂😂😭,negative,negative,negative
@user You did ooooo you did akwuna oku,negative,negative,negative
@user People mumu honestly... Ndị mmadụ dị go dị stupid,negative,negative,negative
Okwa scope o ga e ji ara gi @user 👀👀 [URL],negative,negative,negative
@user @user Ya fu gbuo gi there....,negative,negative,negative
Egbe enigwe gbagbuo gi there. Anuofia! 🙄 [URL],negative,negative,negative
@user @user Ura anaghị atozi ụtọ kita.. Echiche ezuo mmadụ arụ 🤦‍♀️🤦‍♀️,negative,positive,negative
"Lol. Osi na ina eme oke mkpotu, fall back 🤣 [URL]",negative,negative,negative
@user @user @user @user @user @user @user @user 😦 Ihe ne Eme na uwa ohhh [URL],negative,positive,negative
@user @user Na yam be your problem? Obere okwu.,negative,negative,negative
"@user Yes now, oshio nu nnukwu onye asị",negative,positive,negative
@user @user Tufiakwa gi na bad luck,negative,negative,negative
@user @user Agwuru ga gbukwa ndi mmadu😩,negative,negative,negative
@user Don't mind that ethic bigot..ndi ala ofe nmanu,negative,negative,negative
@user @user Onye ara na gba,negative,negative,negative
Negodu onye nne na nna muru...chineke kere! Tufia! [URL],negative,negative,negative
@user @user @user @user @user @user @user @user @user @user @user Ya to kwa gị na ọnụ 🤣🤣,negative,negative,negative
Lekwanu nsogbu o [URL],negative,negative,negative
"@user Your own case dey different. Ke gi obu, were omu pia gị tatata",negative,negative,negative
@user @user 🤣 🤣 🤣 Ya ifele emero gi na ọnụ?,negative,negative,negative
"@user Noro ebea ahu nw😂😂, umu otu afuro iru gi",negative,negative,negative
@user Nna ehn.... Nke Mbaka riri m ọnụ. Eziokwu m,negative,positive,negative
@user Le di nwa mkpi o,negative,negative,negative
"Nna eh, nwoke a ji anyi na-egwu egwuregwu..😂😂😂 [URL]",negative,positive,negative
@user @user Onye mgbu eriri eri.,negative,negative,negative
@user Ndi ifulu na ezigbote isi adiro fa nma,negative,negative,negative
"@user Lol, Zeal onye ara",negative,negative,negative
@user @user @user @user @user @user Ihe onyunyu egbugo umu boys🤣🤣🤣,negative,negative,negative
@user @user @user Sex na afu maka mgbawo obi O buru na agbawa bugho gi obi before Bia Nara liberation sex nke iga atukwasi obi gi na ya O buru na e kechiri Onwe gi maka na inweghi enyi nwoke O nodu a na Enye gi nsogbu nke ukwuu E ji liberation sex Agwo ya [URL],negative,positive,negative
This Werner na Otu walahi,negative,negative,positive
@user @user @user O ri cake... ngwa mechie onu,negative,negative,negative
Obu ego na akpari mmadu😭😭😭,negative,negative,negative
Ezemmuo o gwuru ike. [URL],negative,negative,negative
@user @user @user @user Obi ufu ahu gbuo gi ooh,negative,negative,negative
@user @user @user @user 😂😂😂 Who is your Cap’n? Tufiakwa! Oburo mu na gi,negative,negative,negative
"Kene, kedu Nwanne'm ikuru gi ife Tinker kuru pan? 🤔 [URL]",negative,negative,negative
"@user Nne, ịre gị dị ka ihe e jị amị amụ. A ma mụ na ị ga ma ọrụ a ọhụ ma.",negative,positive,negative
@user @user 🤣🤣🤣 Nwanne ara ga gba ndị mmadụ,negative,negative,negative
@user @user Nekwa ka gị na Mother Mary ga enwe serious problem.,negative,negative,negative
Heeeyiii! 🙆‍♀🙆‍♀ What is all these Chiukwuabiama? Kedu ihe mmadu mere china bikonu? 😭😭😭 [URL],negative,negative,negative
Isi adiro gi mma lol [URL],negative,negative,negative
@user Odikwa the person no understand anumpama 😂😂😂,negative,negative,negative
Kedu Ife onye nke na ako biko nu 😩🤦🏽‍♀️,negative,negative,negative
@user Aghotaro m nke a😒,negative,positive,negative
"Been awake since [NUM]am.... Then obere ụra bịara ifekuru m few minutes ago, this train ewerela noise ya mepụ m ụra n'anya, Chineke Nna 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️ Kedụ ụdịrị nkanka ihe bụkwanụ ihe a bikonu 🥺",negative,negative,negative
"Thunda gbagbuo gị there! E jugo m nke n'ewe m.... """""""". 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 [URL]",negative,negative,negative
@user @user @user The guy bu ezigbote Onye Ala 🙌🙌,negative,negative,negative
@user @user @user @user @user @user @user @user @user @user Ndị akpa sense....,negative,negative,negative
@user @user E bia yiri onye wey intention e gwo ogwu ego😂,negative,positive,negative
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Obu Onye Ara N, ebu uzo Akpo Onye zuruoke Onye Ara ,sha onweghi Onye agworo Ara gwota ya ntamu, Ntamu ga adiruri ,",negative,negative,negative
@user @user @user @user @user @user @user @user @user @user @user Anya ụfụ na enye ya nsogbu 🤣🤣,negative,negative,negative
The nwa na a lacha the ike nsi kwanu? Ara di ha ncha [URL],negative,negative,negative
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Nne, Iwe gi adila oku, Gbaghara’m n’ihi n’obu aka-olu ekwensu. Bet e no go bad if we tag along tomorrow",negative,negative,negative
@user @user Ihe nke a di egwu o,negative,negative,negative
"ihe a gwara gị na ihe m hụrụ dị iche. mama, kwere ihe m na-ekwu Ụmụ nwoke ole na ole na owerri á enweghị ume [URL]",negative,negative,negative
@user @user Nke a bu ala gbagbuo gi mehn! 😂,negative,negative,negative
"@user Ehhhhh, Tomtom m... Ị kpọ kwa nne m, ọ wụọ gị n'ala 🙂",negative,positive,positive
"Hey, thunder gbagbuo gi. Ago anu [URL]",negative,negative,negative
"@user biko kedu afa track anwa gi na Ezege feature chorus ya bu """"""""""""""""A NO M EBE M N'AGBA OGWU""""""""""""""""?? D lyrics egbugo m",negative,positive,positive
"@user @user @user Ina cho uka nwoke'm. 🤣😂🤣😂. Anyi n'ekwu nnke ndi ugu, gi n'ekwu ndi wuhan.",negative,negative,negative
@user @user Hmmm ndi mmadu self.,negative,negative,negative
"Ndị ekwensu red, is it [NUM]+[NUM] or [NUM]+[NUM]? [URL]",negative,negative,negative
Chineke! Ebee ka onye nke a si daputa bikonu? Nnaa did your babe cheat? [URL],negative,negative,negative
"@user Lmao Waga G, Onye isi nkuka!",negative,negative,negative
@user Kedu ka nwanne gi nwanyi siri buru onye ojoo?,negative,positive,negative
Wahala for people like us wey no pass any oh! Onye ka m mejọrọ Chukwu nna! Who! 😭😭😭😭 [URL],negative,negative,negative
"O gini n'afio? Olisabinigwe, Nna, biko napu ekwensu ike kpam-kpam! [URL]",negative,negative,negative
@user As in eh. Ike gwuru,negative,negative,negative
@user @user See onye ara n'akpo onye ara onye ara 🤡🤡🤡🤡,negative,negative,negative
"@user @user As in ehn, ndi obi akpo",negative,negative,negative
@user Unu di egwu dear,negative,negative,negative
@user @user @user 😂😂😂😂😂😂😂😂😂.... Anaghi eji amu ukwu emeja ikwikwi.... Mana gawa n'ihu.... Esom unu n'azu,negative,negative,negative
@user Obi adiro kwa gị mma oh,negative,negative,negative
Even #BigBrother don tire. Nsogbu sister girl nke'a dikwa too much. #BBNaija,negative,negative,negative
Kitikpa prayers gbasaa gi akwa amu gi ebeahu.. [URL],negative,negative,negative
"Onye Nwai , Onye Mpiawa Azu 🤣😂😂😂😂😂😂😂",negative,negative,negative
@user Gbasa gi akwa amu dia 😏😏,negative,negative,negative
@user @user Igwe okwu gi ga adaba N. Mmiri,negative,positive,positive
@user Chukwu napu ekwensu ike😳,negative,negative,negative
@user Guy arụ adirọ gị 🤣🤣🤣🤣,negative,negative,negative
@user Nnaa ehn ndi mmadu sef!!,negative,negative,negative
"@user Nna ehh, ndị mmadụ na nkogheri",negative,negative,negative
@user @user 🙆🏽‍♂️🙆🏽‍♂️🙆🏽‍♂️🙆🏽‍♂️🙆🏽‍♂️🙆🏽‍♂️🙆🏽‍♂️🙆🏽‍♂️ Mmadu efukwanu ooh,negative,negative,negative
Ekwensu jiri chike wèrè gwo abacha ubochi ta,negative,positive,negative
@user @user Nsogbu dị oo,negative,negative,negative
The saying uwa di kwa egwu.,negative,negative,negative
@user Tohwagi onu. Ewu,negative,negative,negative
@user God punish u oo.. 😜 😜 😜 Chaii Ịkpụ mmadu,negative,positive,negative
@user Governor ha bu onye añuruma,negative,negative,positive
E kwuru m ya. Ndị ùgwù ga-eme Nigeria iwa 😭 [URL],negative,negative,negative
@user 😂 Kedu uru nnukwu ara? [NUM]hours aka na ebughari one side. Tshew 😕,negative,negative,negative
Onyi otu wa gi? 🌚 [URL],negative,negative,negative
Iberibe an'ere ahia [URL],negative,negative,negative
You don sprinkle am holy oil? 🤔 Umunwanyi di kwa egwu ooo [URL],negative,negative,negative
@user Ngwa ga chupuya na office. Akpa amu,negative,negative,negative
@user That logo by the side Mmadụ etinyekwana m rubbish na nri,negative,negative,negative
@user @user @user Nna biko rapulu nkita nsi. Nedu aburo mmadu.,negative,negative,negative
"@user nwa okuko nyuo ahu, ala a chuwa ya oso/",negative,negative,negative
@user Stupid and Ndi nzuzu,negative,negative,negative
@user @user @user @user @user Jos negodu.... Isi o dikwa gi mma? [URL],negative,negative,negative
Nna nsogbu dị ọ... [URL],negative,negative,negative
@user Je banye onwe gi na River Jordan😂,negative,negative,positive
"@user I don see another one oooo, man you atagbuo la onwe n'afufu oooo 😂😂😂😂,gofundme kwa, uppercut. [URL]",negative,negative,negative
"@user No P, nsogbu adiro",negative,negative,negative
Person dey find how to dey popular mana Onye hu Onye nzuzu ahapu ya ka o zuzuru cha [URL],negative,negative,negative
@user @user Onye nzuzu ari ku ewu,negative,negative,negative
Azigbakwa ihe ojoo! [URL],negative,negative,negative
@user @user @user Ara gbashie kwa gị nti🙄,negative,negative,negative
Nna Nna.. Onye na acho gi okwu na-ututu a? [URL],negative,negative,negative
@user @user @user @user @user @user Sharap dia... Ifurozi mazi egwu fulum ozugbo bido rioba biko,negative,negative,negative
"@user Mu ji de, oga ga choro onye ozo Maka chukwu, I'm not letting go 😂😂",negative,negative,positive
Ihe nkea gwuru ike. Scared i am. [URL],negative,negative,negative
"@user Barawo, Ole, Onye ori",negative,negative,positive
😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀 Nnanyi e gae gbum mmadu oo [URL],negative,negative,negative
@user 😂 😂 😂 😂 😂 😂 Ndị ofe mmanụ ga apụta kita.,negative,negative,negative
Mechie gi onu Ewu! [URL],negative,negative,negative
@user Oge ara kana agba gi,negative,negative,negative
"All of you that reported Emeka's account.. Ahia ojo kpo kwa unu, ihu na azu....",negative,positive,negative
@user odi very very egwu😂😂😂,negative,positive,negative
"Well, oshi bu aka olu onye mpu. So stealing is an act of a corrupt person...okwa one m siri ghota ya...ndi Ichie sizi kwa na obughi ya, ekwe m. [URL]",negative,positive,negative
@user @user @user Edozie zukwaanu ike 🤣🤣🤣,negative,negative,negative
O. D. Egwu,negative,negative,positive
"No boo! You can not crase! """"""""""""""""@user: Ogini di sef!!! Mm' na yi ara?😒""""""""""""""""",negative,negative,negative
You no well. Ekwensu [URL],negative,negative,negative
@user Ya kwochapu gị ọnụ dear,negative,negative,negative
@user @user @user Sị waa gị ọnụ there,negative,negative,negative
@user 🙌🏾🙌🏾🙌🏾🙌🏾 Iriela ala eze nkegi n’ onu,negative,negative,positive
@user Mr liar is on it again . Onye ara nwuru anwu,negative,negative,negative
"Iyalaiyae [NUM]million times, Chineke kpo gi oku there...ewu Gambia [URL]",negative,negative,negative
@user AKUKO! A NA EME NKUSASI RUOMGBE EGBUSISIRI ANYI,negative,negative,positive
@user @user Aga awa agba gị ka ọhịa😂😂😂,negative,negative,negative
@user 😂😂😂😂😂ajọ ndụ mehnn,negative,positive,negative
Here we go... Ndi e gbuwara isi... [URL],negative,negative,negative
Àlà ga Agba ndị àlà ọ... Ma kà chị 😎😎,negative,positive,negative
"@user NAN adazi ewu sef. Ha zụcha cou and gate, aptamil, huggies na ndị otu ha, ha ga akọta l'as las.",negative,negative,negative
@user Oku ala mmuo straight!,negative,negative,negative
